# service [domain];url;validate;service_caption;host_caption [service]
Google-dns-test;8.8.8.8:53;tcp;;
#fbls_banned;173.0.153.132/cipl/test_object.js;http;;maybe banned - 173.0.153.132
#fbls_banned;173.0.153.133/cipl/test_object.js;http;;maybe banned - 173.0.153.133
#fbls_banned;173.0.153.134/cipl/test_object.js;http;;maybe banned - 173.0.153.134
#fbls_banned;173.0.153.135/cipl/test_object.js;http;;maybe banned - 173.0.153.135
#fbls_banned;173.0.153.136/cipl/test_object.js;http;;maybe banned - 173.0.153.136
#fbls_banned;173.0.153.137/cipl/test_object.js;http;;maybe banned - 173.0.153.137
#fbls_banned;173.0.153.138/cipl/test_object.js;http;;maybe banned - 173.0.153.138
#fbls_banned;173.0.153.139/cipl/test_object.js;http;;maybe banned - 173.0.153.139
#fbls_banned;173.0.153.140/cipl/test_object.js;http;;maybe banned - 173.0.153.140
#fbls_banned;173.0.153.141/cipl/test_object.js;http;;maybe banned - 173.0.153.141
#fbls_banned;173.0.153.142/cipl/test_object.js;http;;maybe banned - 173.0.153.142
#fbls_banned;173.0.153.143/cipl/test_object.js;http;;maybe banned - 173.0.153.143
#fbls_banned;173.0.153.144/cipl/test_object.js;http;;maybe banned - 173.0.153.144
#fbls_banned;173.0.153.145/cipl/test_object.js;http;;maybe banned - 173.0.153.145
#fbls_banned;173.0.153.146/cipl/test_object.js;http;;maybe banned - 173.0.153.146
#fbls_banned;173.0.153.147/cipl/test_object.js;http;;maybe banned - 173.0.153.147
#fbls_banned;173.0.153.148/cipl/test_object.js;http;;maybe banned - 173.0.153.148
#fbls_banned;173.0.153.149/cipl/test_object.js;http;;maybe banned - 173.0.153.149
#fbls_banned;173.0.153.150/cipl/test_object.js;http;;maybe banned - 173.0.153.150
#fbls_banned;173.0.153.151/cipl/test_object.js;http;;maybe banned - 173.0.153.151
#fbls_banned;173.0.153.152/cipl/test_object.js;http;;maybe banned - 173.0.153.152
#fbls_banned;173.0.153.153/cipl/test_object.js;http;;maybe banned - 173.0.153.153
#fbls_banned;173.0.153.154/cipl/test_object.js;http;;maybe banned - 173.0.153.154
